Vintage,Country,Designation,Points,Price,Province,Winery
1929,Italy,Prugneto,84,15 ,Central Italy,Poderi dal Nespoli 1929
1945,France,Legend Vintage,95,350 ,Southern France,Gérard Bertrand
1989,France,Diamant Bleu,91,70 ,Northeastern France ,Heidsieck & Co Monopole
1990,France,Dom Pérignon Rosé,90,290 ,Northeastern France ,Moët & Chandon
1994,Italy,Riserva,93,140 ,Central Italy,Fattoria di Grignano
1995,France,Premier Cru Blanc de Blancs Brut,89,48 ,Northeastern France ,De Saint Gall
1995,France,Grande Cru Brut,90,60 ,Northeastern France ,Soutiran
1995,Italy,Riserva,84,56 ,Central Italy,Poggio Antico
1996,Italy,Riserva,84,18 ,Central Italy,Querceto
1996,France,Cuvée Femme Brut,95,120 ,Northeastern France ,Duval Leroy
1996,Italy,Riserva,83,26 ,Central Italy,Castellare
1996,Italy,Dino Nero Spumante,90,36 ,Northwestern Italy,Bruno Giacosa
1997,Italy,Morar,91,50 ,Northeastern Italy,Valentina Cubi
1997,France,Les Blanchots,92,85 ,Northeastern France ,Domaine Laroche
1997,Italy,Montepaone,89,45 ,Central Italy,Castello di Montepò
1997,Italy,Querciolo Riserva,84,22 ,Central Italy,Podere La Cappella
1997,Italy,Selvamaggio,88,27 ,Central Italy,Villa La Selva
1997,Italy,Brut Riserva,85,28 ,Northwestern Italy,Cornaleto
1997,France,Palmes d Or,91,120 ,Northeastern France ,Nicolas Feuillatte
1997,Italy,Greppone Mazzi,90,60 ,Central Italy,Ruffino
1998,France,Prestige des Gibelins,88,15 ,Central France ,Château Mas Neuf
1998,France,Dom Ruinart Brut Rosé,95,275 ,Northeastern France ,Ruinart
1998,France,Diamant Rosé Brut,86,160 ,Northeastern France ,Vranken
1998,Italy,Le Marze,89,40 ,Central Italy,Elisabetta
1998,Italy,I Sodi del Paretaio,83,11 ,Central Italy,Badia di Morrona
1998,France,Château de Blagny Premier Cru,88,45 ,Northeastern France ,Louis Latour
1998,Italy,Excelsus,90,73 ,Central Italy,Castello Banfi
1998,Italy,Colvecchio,86,36 ,Central Italy,Castello Banfi
1998,Italy,Riserva,90,22 ,Central Italy,Carpineto
1998,France,Chardonnay Blanc de Blancs Brut,89,40 ,Northeastern France ,Nicolas Feuillatte
1998,France,Premier Cru Les Vergelesses,92,33 ,Northeastern France ,Laleure Piot
1998,France,Les Referts Premier Cru,92,55 ,Northeastern France ,Louis Latour
1998,France,Reserve,88,10 ,Southern France,Calvet
1998,Italy,Riserva,88,19 ,Central Italy,Val delle Rose
1998,France,Millésimé Brut,93,95 ,Northeastern France ,Henriot
1998,France,Estate Bottled,87,10 ,Central France ,Château Val Joanis
1998,France,Domaine Grand Veneur,86,9 ,Central France ,Alain Jaume et Fils
1998,France,Grand Siècle Cuvée Alexandra Rosé Brut,93,300 ,Northeastern France ,Laurent Perrier
1999,Italy,Riserva del Fondatore,93,90 ,Northeastern Italy,Giulio Ferrari
1999,Italy,Guado Al Tasso,95,80 ,Central Italy,Antinori
1999,France,Chevalier de Sterimberg,94,75 ,Central France ,Paul Jaboulet Aîné
1999,France,Reserve,84,9 ,Southern France,Marquis de Chasse
1999,Italy,Ceccante,90,43 ,Central Italy,Il Grillesino
1999,France,Extra Cuvée de Réserve Vintage Brut,93,103 ,Northeastern France ,Pol Roger
1999,Italy,Le Arenarie,88,12 ,Southern Italy,Sella & Mosca
1999,Italy,Cum Laude,87,35 ,Central Italy,Castello Banfi
1999,France,Cuvée William Deutz Rosé Brut,94,170 ,Northeastern France ,Deutz
1999,France,Elevé en FÃ»ts de ChÃªne Neufs,88,30 ,Northwestern France ,Château du Coing de Saint Fiacre
1999,France,Millesimé Brut,92,65 ,Northeastern France ,Ayala
1999,France,Les Chaliots,87,37 ,Northeastern France ,Michel Gros
1999,France,Millesimé Brut,90,75 ,Northeastern France ,Laurent Perrier
1999,Italy,Teuzzo Riserva,86,31 ,Central Italy,Cecchi
1999,France,Clos dea Argillieres,89,52 ,Northeastern France ,Daniel Rion
1999,France,Blanc de Blancs Brut,90,95 ,Northeastern France ,Delamotte
1999,Italy,Terre di Dora,91,20 ,Southern Italy,Terredora
1999,France,Aux Brulees,90,65 ,Northeastern France ,Michel Gros
2000,Italy,Crognolo,92,32 ,Central Italy,Tenuta Sette Ponti
2000,France,Cuvée 1522 Grand Cru Brut,93,100 ,Northeastern France ,Philipponnat
2000,France,Clos de Vougeot,92,400 ,Northeastern France ,Domaine Henri Rebourseau
2000,Italy,Were Dreams  Now it is Just Wine,85,55 ,Northeastern Italy,Jermann
2000,France,Morgeot,89,50 ,Northeastern France ,Louis Latour
2000,Italy,Terre Rare Riserva,89,22 ,Southern Italy,Sella & Mosca
2000,Italy,Vigneto Boscareto,90,79 ,Northwestern Italy,Beni di Batasiolo
2000,Italy,Sanct Valentin,87,28 ,Northeastern Italy,St. Michael Eppan
2000,Italy,Vigne Alte,88,11 ,Northeastern Italy,Fratelli Zeni
2000,Italy,Marinali Bianco,84,20 ,Northeastern Italy,Villa Sandi
2000,France,Chateau De Blagny Premier Cru,89,40 ,Northeastern France ,Louis Latour
2000,Italy,Scassino,87,20 ,Central Italy,Terrabianca
2000,France,Joyau de France Brut,91,116 ,Northeastern France ,Boizel
2000,Italy,Riserva,92,84 ,Northwestern Italy,Marchesi di Barolo
2001,Italy,Riserva,87,15 ,Southern Italy,Cantina Sociale Cooperativa di Copertino
2001,Italy,Sauvignon de la Tour,87,38 ,Northeastern Italy,Villa Russiz
2001,France,Sélection de Grains Nobles,92,197 ,Northeastern France ,Hugel
2001,Italy,La Froscà,89,18 ,Northeastern Italy,Gini
2001,Italy,Riserva La Volta,87,70 ,Northwestern Italy,Viberti
2001,France,Grand Portail Cuvée Réservée,86,15 ,Southern France,Caves Fleury
2001,Italy,Fatica Contadina,90,54 ,Southern Italy,Terredora
2001,Italy,Riserva CampoRe,92,70 ,Southern Italy,Terredora
2001,Italy,Capitel Croce,91,18 ,Northeastern Italy,Anselmi
2001,Italy,Sorano,91,60 ,Northwestern Italy,Giacomo Ascheri
2001,Italy,Lafoa,90,35 ,Northeastern Italy,Produttori Colterenzio
2001,Italy,Riserva,92,80 ,Central Italy,Fattoria dei Barbi
2001,Italy,Lunare,87,43 ,Northeastern Italy,Cantina Terlano
2001,Italy,Vigneto Poggio Sant Enrico,92,75 ,Central Italy,Carpineto
2001,Italy,Blanc des Rosis,89,31 ,Northeastern Italy,Mario Schiopetto
2001,Italy,Ipso,91,18 ,Northeastern Italy,Volpe Pasini
2001,Italy,Naturalis Historia,93,65 ,Southern Italy,Mastroberardino
2001,Italy,L Aristocratico,85,15 ,Northeastern Italy,Ca  Montini
2001,France,Domaine de Bila Haut Vin Doux Naturel,89,26 ,Southern France,M. Chapoutier
2001,Italy,Contrada Salavrenza Vecchie Vigne,91,24 ,Northeastern Italy,Gini
2001,Italy,Il Decennale,90,200 ,Central Italy,Poggio di Sotto
2001,Italy,Mazzano,94,198 ,Northeastern Italy,Masi
2001,France,Reserve St. Martin,82,8 ,Southern France,Val d Orbieu
2001,Italy,San Leonardo,93,60 ,Northeastern Italy,Tenuta San Leonardo
2001,France,Millésime Brut,90,51 ,Northeastern France ,Charles Ellner
2001,Italy,Phiale,90,26 ,Southern Italy,Scilio
2001,Italy,Cornell,89,33 ,Northeastern Italy,Produttori Colterenzio
2001,Italy,Trevigne,91,43 ,Northwestern Italy,Travaglini
2001,Italy,Beyond the Clouds,90,40 ,Northeastern Italy,Elena Walch
2001,Italy,Casalferro,91,50 ,Central Italy,Barone Ricasoli
2001,Italy,Flors di Uis,88,27 ,Northeastern Italy,Vie di Romans
2001,Italy,Maso Canali,84,17 ,Northeastern Italy,Ecco Domani
2001,Italy,Infinito,88,50 ,Central Italy,Castello di Monastero
2001,Italy,Cortaccio,92,61 ,Central Italy,Villa Cafaggio
2002,Italy,Vin San Laurentino,92,95 ,Central Italy,Castello di Bossi
2002,Italy,Dosage Zero,90,88 ,Northwestern Italy,Ca  del Bosco
2002,France,Palmes d Or Rosé,85,200 ,Northeastern France ,Nicolas Feuillatte
2002,Italy,El Zuiter,87,22 ,Northeastern Italy,Montelvini
2002,Italy,Colbaraca Classico,87,11 ,Northeastern Italy,Masi
2002,France,Nid D Abeille,82,8 ,Southern France,Mommessin
2002,Italy,Vino Santo,89,35 ,Northeastern Italy,Pisoni
2002,France,Château du Bascou,84,42 ,Southern France,Producteurs Plaimont
2002,Italy,Barocco,90,50 ,Southern Italy,Avide
2002,France,Rosé Millésimé,92,80 ,Northeastern France ,Henriot
2002,Italy,Flavio Riserva Brut Talento,91,30 ,Northeastern Italy,Rotari
2002,Italy,Opere Trevigiane Riserva Brut,90,34 ,Northeastern Italy,Villa Sandi
2002,France,Blanc de Blancs Brut,91,65 ,Northeastern France ,Ayala
2003,Italy,Vin San Laurentino,93,95 ,Central Italy,Castello di Bossi
2003,France,Cuvée Greenwich,92,30 ,Southern France,Château Peyros
2003,Italy,Veneroso,89,35 ,Central Italy,Tenuta di Ghizzano
2003,Italy,Donna Lisa Rosso,88,16 ,Southern Italy,Leone de Castris
2003,Italy,Bricco Rocche Prapó,92,70 ,Northwestern Italy,Ceretto
2003,Italy,Riserva,89,16 ,Central Italy,San Quirico
2003,Italy,Marina Cvetic,91,50 ,Central Italy,Masciarelli
2003,Italy,Raboso,89,25 ,Northeastern Italy,Moletto
2003,France,Rosé Brut,90,75 ,Northeastern France ,Deutz
2003,Italy,Re Manfredi Serpara,88,42 ,Southern Italy,Terre degli Svevi
2003,Italy,Riserva Puteus,86,17 ,Southern Italy,Mocavero
2003,Italy,Alcineo,86,50 ,Central Italy,Palazzo
2003,Italy,Campoleone,93,50 ,Central Italy,Lamborghini
2003,France,Kosher,86,32 ,Southern France,Barons Edmund Benjamin de Rothschild
2003,Italy,Sigillo,90,50 ,Southern Italy,Avide
2003,Italy,I Sodi di San Niccoló,92,60 ,Central Italy,Castellare di Castellina
2003,Italy,Schietto,91,40 ,Southern Italy,Principi di Spadafora
2003,Italy,Gualdo del Re,90,30 ,Central Italy,Gualdo del Re
2003,Italy,I Saltari Le Vigne di Turano,87,25 ,Northeastern Italy,Sartori
2003,France,Origine du Haut Bourg,91,20 ,Northwestern France ,Domaine du Haut Bourg
2003,Italy,Tenuta Belguardo,92,60 ,Central Italy,Mazzei
2003,Italy,Gironia,89,26 ,Southern Italy,Borgo di Colloredo
2003,Italy,Riserva,89,30 ,Central Italy,Castello di Monastero
2003,Italy,Villa Monticelli,91,30 ,Central Italy,Barberani
2003,Italy,Castello di Nipozzano Mormoreto,90,50 ,Central Italy,Marchesi de  Frescobaldi
2003,Italy,Riserva di Costasera,92,75 ,Northeastern Italy,Masi
2003,France,La Stèle Rouge,86,24 ,Southern France,Mas de la Dame
2003,Italy,Arlèo,90,45 ,Northeastern Italy,Santa Sofia
2003,France,Rocher Rouge,89,80 ,Southern France,Château Calissanne
2003,Italy,Quercegobbe,86,50 ,Central Italy,Petra
2003,Italy,Rocca Sveva,89,85 ,Northeastern Italy,Cantina di Soave
2003,Italy,Cantina Tre Serre,88,29 ,Northwestern Italy,Vinchio Vaglio Serra
2003,Italy,Il Sole di Alessandro,90,70 ,Central Italy,Castello di Querceto
2003,Italy,Riserva,86,18 ,Central Italy,Terre de Trinci
2004,Italy,Red Blend,87,17 ,Central Italy,Castello di Corbara
2004,France,Millésime Premier Cru Extra Brut,91,160 ,Northeastern France ,Yann Alexandre
2004,Italy,Riserva,89,120 ,Central Italy,Le Potazzine
2004,France,Chardonnay Blanc de Blancs Brut,87,46 ,Northeastern France ,Nicolas Feuillatte
2004,Italy,Villa Monte Vibiano,86,12 ,Central Italy,Castello Monte Vibiano Vecchio
2004,Italy,Biagio,84,11 ,Central Italy,Castellani
2004,Italy,Vallino delle Conche,91,26 ,Central Italy,La Regola
2004,Italy,Marina Cvetic,93,50 ,Central Italy,Masciarelli
2004,France,Élevé en FÃ»ts de ChÃªne,90,13 ,Southern France,Domaine Serres Mazard
2004,France,Vieilles Vignes,89,21 ,Northeastern France ,Domaine Ehrhart
2004,Italy,Riserva 0 618,89,75 ,Southern Italy,Santa Lucia
2004,Italy,Vigna Giaia,90,42 ,Northwestern Italy,Pe re Alessandro
2004,Italy,Sassicaia,97,190 ,Central Italy,Tenuta San Guido
2004,Italy,TonÃ¬,84,70 ,Central Italy,Cataldi Madonna
2004,Italy,Preve Riserva,92,125 ,Northwestern Italy,Gianni Gagliardo
2004,Italy,Riserva,91,50 ,Northwestern Italy,Villadoria
2004,Italy,Vigna Macchia dei Goti,94,60 ,Southern Italy,Antonio Caggiano
2004,Italy,Riserva Le More,88,44 ,Southern Italy,Santa Lucia
2004,Italy,Vigna Cannubi,90,90 ,Northwestern Italy,Barale Fratelli
2004,France,Cuvée Sir Winston Churchill Brut,97,305 ,Northeastern France ,Pol Roger
2004,Italy,Riserva,87,12 ,Southern Italy,Cantele
2004,Italy,Gaudo al Melo Rosso,91,26 ,Central Italy,Podere Guado al Melo
2004,Italy,Morópio,91,60 ,Northeastern Italy,Antolini
2004,Italy,Tenuta Montebello Picconero,94,130 ,Central Italy,Tolaini
2004,France,Villars sur Var,89,42 ,Southern France,Clos Saint Joseph
2004,France,Cuvée Prédilection,90,20 ,Northwestern France ,Château Moncontour
2004,Italy,Villa al Cortile,89,45 ,Central Italy,Piccini
2004,Italy,Il Carbonaione,92,60 ,Central Italy,Poggio Scalette
2004,Italy,Riserva Talento,89,18 ,Northeastern Italy,Rotari
2004,France,Grand Cru Blanc de Blancs Réserve Brut,91,48 ,Northeastern France ,Chapuy
2004,Italy,Villa Puccini,84,11 ,Central Italy,Villa Puccini
2004,Italy,Gaia Principe,85,45 ,Northwestern Italy,Prinsi
2004,Italy,Riserva Il Falcone,90,33 ,Southern Italy,Rivera
2004,Italy,Giorgio Primo,93,85 ,Central Italy,Fattoria La Massa
2004,Italy,Montegrilli,89,27 ,Northwestern Italy,Elvio Cogno
2004,Italy,Persiera Riserva,93,140 ,Northwestern Italy,Josetta Saffirio
2004,Italy,La Tour a Civitella,90,20 ,Central Italy,Sergio Mottura
2004,Italy,Casalferro,92,49 ,Central Italy,Barone Ricasoli
2004,Italy,Passito,87,50 ,Central Italy,Antonelli
2004,Italy,Tavernelle,91,41 ,Central Italy,Castello Banfi
2004,Italy,Tenuta di Budonetto Terre di Ottavia,87,46 ,Southern Italy,Maurigi
2004,Italy,Decima Aurea,91,52 ,Northeastern Italy,Tenuta Santa Maria alla Pieve
2004,Italy,Brut Perlé,91,32 ,Northeastern Italy,Ferrari
2004,Italy,Monvigliero Riserva,94,90 ,Northwestern Italy,Castello di Verduno
2004,Italy,Olmaia,95,75 ,Central Italy,Col d Orcia
2004,Italy,Riserva,95,120 ,Central Italy,Le Chiuse
2004,Italy,Ursonia,90,39 ,Central Italy,Il Feuduccio Di S. Maria D Orni
2004,France,Haute Densité,92,99 ,Northwestern France ,Château de Tracy
2004,France,Brut Millésimé,94,90 ,Northeastern France ,Alfred Gratien
2004,Italy,La Regola,93,42 ,Central Italy,La Regola
2004,Italy,Riserva,92,74 ,Central Italy,Terralsole
2004,Italy,Bosan,94,106 ,Northeastern Italy,Cesari
2004,France,Schoenenbourg Grand Cru Vendanges Tardives,92,80 ,Northeastern France ,Dopff & Irion
2004,Italy,Le Grascete,86,40 ,Central Italy,Le Grascete
2004,Italy,Monteti,93,60 ,Central Italy,Tenuta Monteti
2004,Italy,Casal di Serra Vecchie Vigne,89,22 ,Central Italy,Umani Ronchi
2004,Italy,Violetta,90,25 ,Central Italy,Tenuta di Ceppaiano
2004,Italy,Mantus,88,42 ,Central Italy,Máté
2004,Italy,Central Italy,87,20 ,Central Italy,Kirkland Signature
2004,France,Grand Vintage,90,66 ,Northeastern France ,Boizel
2004,Italy,ChersÃ¬,87,26 ,Northwestern Italy,Tenimenti Ca  Bianca
2004,Italy,Tenuta Belguardo,94,60 ,Central Italy,Mazzei
2004,France,Cuvée Merville,84,11 ,Southern France,Château Les Palais
2004,Italy,Occhio di Pernice,92,65 ,Central Italy,Badia a Coltibuono
2004,France,Quintessence Premier Cru Brut Millésime,94,50 ,Northeastern France ,Lelarge Pugeot
2004,Italy,Patrimonio,86,14 ,Central Italy,Antonino Tringali Casanuova
2004,Italy,Vigna di Pianrosso Santa Caterina d Oro Riserva,87,65 ,Central Italy,Ciacci Piccolomini d Aragona
2004,Italy,Essenze Riserva,91,90 ,Northwestern Italy,Vite Colte
2004,Italy,NÃ¬vuro,84,13 ,Southern Italy,Feudo di Santa Tresa
2004,Italy,Rapace,92,40 ,Central Italy,Uccelliera
2004,Italy,Triumviratum Riserva,94,117 ,Northwestern Italy,Michele Chiarlo
2004,Italy,Poggio alla Guardia,86,24 ,Central Italy,Rocca di Frassinello
2004,Italy,Brut Quvée 15,91,51 ,Northwestern Italy,Quadra
2004,Italy,Colle dei Mandorli,89,35 ,Central Italy,Tenuta San Vito
2004,Italy,Riserva Novecento,91,50 ,Central Italy,Dievole
2004,Italy,Riserva,90,59 ,Northwestern Italy,Travaglini
2004,Italy,Bussia,90,90 ,Northwestern Italy,Prunotto
2004,Italy,Riserva Vigna Casi,88,46 ,Central Italy,Castello di Meleto
2004,Italy,Torre Pieve,88,30 ,Northeastern Italy,Santa Maria
2004,France,Blanc de Blancs Brut,91,82 ,Northeastern France ,Deutz
2004,Italy,Jorio,87,14 ,Central Italy,Umani Ronchi
2004,Italy,Pian Bossolino Riserva,93,80 ,Central Italy,Tenuta Poggio il Castellare
2004,Italy,Excelsus,93,81 ,Central Italy,Castello Banfi
2004,Italy,Vignarè,90,45 ,Central Italy,Guicciardini Strozzi
2004,Italy,Bosco Faiano,89,39 ,Southern Italy,I Capitani
2004,Italy,Riserva Don Anselmo,92,73 ,Southern Italy,Paternoster
2004,Italy,La Poja,93,90 ,Northeastern Italy,Allegrini
2004,France,Brut,90,69 ,Northeastern France ,Deutz
2004,Italy,Albe,88,45 ,Northwestern Italy,G D Vajra
2004,Italy,Vigna di Pianrosso Santa Caterina d Oro Riserva,87,65 ,Central Italy,Ciacci Piccolomini d Aragona
2004,France,Brut Millesimé,94,80 ,Northeastern France ,Taittinger
2005,France,Le Grand Pompée,86,34 ,Central France ,Paul Jaboulet Aîné
2005,Italy,Riserva Vereto,86,14 ,Southern Italy,Agricole Vallone
2005,Italy,Vigneti di Osan,93,70 ,Northeastern Italy,Corteforte
2005,France,Zette Rouge,88,9 ,Southern France,Château Lagrézette
2005,France,Oenophile Premier Cru Blanc de Blancs Extra Brut,92,72 ,Northeastern France ,Pierre Gimonnet et Fils
2005,Italy,Rosso,84,28 ,Central Italy,Cantine Novelli
2005,France,Grèves Premier Cru,93,75 ,Northeastern France ,Chanson Père et Fils
2005,Italy,Terlo Ravera,91,50 ,Northwestern Italy,Marziano Abbona
2005,France,Cyrano,87,18 ,Southern France,Château Routas
2005,France,Beaux Monts Premier Cru,93,125 ,Northeastern France ,Domaine Moillard
2005,Italy,Santa Cecilia,91,39 ,Southern Italy,Planeta
2005,Italy,Coronato,92,70 ,Central Italy,Tenuta di Biserno
2005,Italy,Poggioncino,88,25 ,Central Italy,Bocelli
2005,France,Vaudésir Grand Cru,93,86 ,Northeastern France ,William Fèvre
2005,France,Santenots Premier Cru,92,95 ,Northeastern France ,Pierre Morey
2005,Italy,Brunate,93,58 ,Northwestern Italy,Marcarini
2005,Italy,Rocca Normanna Le Sciare,86,10 ,Southern Italy,Cantine Due Palme
2005,Italy,Torriglione,87,17 ,Northwestern Italy,Renato Ratti
2005,Italy,Terra S. Giovanni,81,14 ,Southern Italy,Valle dell Asso
2005,Italy,Riserva,94,135 ,Northeastern Italy,Venturini Massimino
2005,Italy,Madonna di Como,86,21 ,Northwestern Italy,Pietro Rinaldi
2005,France,Baron d Ardeuil Vieilles Vignes,88,17 ,Southern France,Vignerons de Buzet
2005,Italy,Masseria Maime,90,34 ,Southern Italy,Tormaresca
2005,France,Infernet,86,13 ,Southern France,Château Routas
2005,Italy,Plus,91,75 ,Northeastern Italy,Bastianich
2005,Italy,L Aspetto,88,24 ,Central Italy,Fattoria Fibbiano
2005,Italy,Ceuso,90,40 ,Southern Italy,Ceuso
2005,Italy,Leone Zardini,91,60 ,Northeastern Italy,Pietro Zardini
2005,Italy,Amfora,94,120 ,Northeastern Italy,Gravner
2005,France,Old Vine,88,36 ,Southern France,Château Maris
2005,Italy,Podere Monte Maggiore,86,13 ,Northeastern Italy,Gorgo
2005,Italy,De Miranda,90,90 ,Northwestern Italy,Contratto
2005,France,Kosher,81,13 ,Southern France,Fortant
2005,France,Terres Brulées,93,78 ,Central France ,Jean Luc Colombo
2005,France,Mademoiselle de T,88,25 ,Northwestern France ,Château de Tracy
2005,Italy,Jèma,90,49 ,Northeastern Italy,Cesari
2005,France,Les Blanchots Grand Cru,93,60 ,Northeastern France ,Domaine Laroche
2005,Italy,Gorelli,88,65 ,Central Italy,Le Potazzine
2005,France,Clos des Bouveries Blanc de Blancs Brut,91,65 ,Northeastern France ,Duval Leroy
2005,Italy,Piè delle Vigne Cerasuolo Rosè,87,40 ,Central Italy,Cataldi Madonna
2005,Italy,Santa Chiara,85,15 ,Central Italy,Palagetto
2005,Italy,Romitorio di Santedame,92,80 ,Central Italy,Ruffino
2005,Italy,Spanna,86,18 ,Northwestern Italy,Dessilani
2005,Italy,Petrucci,90,175 ,Central Italy,Podere Forte
2005,Italy,Arvino,88,21 ,Southern Italy,Statti
2005,Italy,Damaschito,90,35 ,Southern Italy,Lucania
2005,France,Vaudésir Grand Cru,92,70 ,Northeastern France ,Pascal Bouchard
2005,France,Cuvée Cécile,91,31 ,Northeastern France ,Lucien Albrecht
2005,Italy,Turriga,90,80 ,Southern Italy,Argiolas
2005,Italy,Sassabruna,90,30 ,Central Italy,Rocca di Montemassi
2005,Italy,Barturot,89,32 ,Northwestern Italy,Ca  Viola
2005,France,Montmains Premier Cru,90,40 ,Northeastern France ,William Fèvre
2005,France,Cuvée Sainte Hélene,90,50 ,Southern France,Mas Belles Eaux
2005,Italy,Serramarrocco,92,52 ,Southern Italy,Tenuta di Serramarrocco
2005,Italy,Farnito,91,65 ,Central Italy,Carpineto
2005,Italy,PassrÃ¬ di Scrapona,89,60 ,Northwestern Italy,Marenco
2005,France,Clos des Mouches Premier Cru,93,90 ,Northeastern France ,Chanson Père et Fils
2005,France,Les Meslaines Grand Cru Brut,92,67 ,Northeastern France ,Lamiable
2005,Italy,Gravello,88,33 ,Southern Italy,Librandi
2005,Italy,Amaranto 72 Riserva,90,30 ,Northeastern Italy,Italo Cescon
2005,Italy,Coniale,91,45 ,Central Italy,Castellare di Castellina
2005,France,Noble Vintage Millésime Brut,90,70 ,Northeastern France ,Jean Noël Haton
2005,Italy,Selezione Madonna delle Grazie,88,90 ,Central Italy,Il Marroneto
2005,Italy,Bric Balin,93,60 ,Northwestern Italy,Moccagatta
2005,France,Blanc de Blancs Millésimé Brut,88,72 ,Northeastern France ,Chassenay d Arce
2005,Italy,Vigna Broglio,88,78 ,Northwestern Italy,Palladino
2005,Italy,Dipinti,86,11 ,Northeastern Italy,La Vis
2005,Italy,Duca Enrico,91,67 ,Southern Italy,Duca di Salaparuta
2005,France,Champs Gains Premier Cru,93,115 ,Northeastern France ,Chanson Père et Fils
2005,Italy,Patrimo,88,150 ,Southern Italy,Feudi di San Gregorio
2005,Italy,Bricco Rio Sordo,91,40 ,Northwestern Italy,Musso
2005,Italy,Ciabot Camerano,88,18 ,Northwestern Italy,Marcarini
2005,Italy,Merlot,84,8 ,Central Italy,Cantina Tudernum
2005,Italy,Colle dei Cerri,90,41 ,Southern Italy,Di Meo
2005,Italy,Sole dei Padri,91,55 ,Southern Italy,Principi di Spadafora
2005,Italy,Campo Morar,84,40 ,Northeastern Italy,Viviani
2005,Italy,Gran Cuvée Brut,91,69 ,Northwestern Italy,Bellavista
2005,Italy,Riserva,87,18 ,Central Italy,Bellini
2005,France,Domaine de Châtenoy Rouge Noir,85,25 ,Northwestern France ,Xavier Flouret
2005,France,Les Baudes Premier Cru,95,95 ,Northeastern France ,Louis Jadot
2005,France,Les Châtelots Premier Cru,91,62 ,Northeastern France ,Henri de Villamont
2005,France,Rangen Grand Cru Clos Saint Théobald Sélection de Grains Nobles Larme de Lave,95,90 ,Northeastern France ,Domaine Schoffit
2005,France,Palmes d Or Vintage Brut Rosé,84,200 ,Northeastern France ,Nicolas Feuillatte
2005,Italy,Poggio ai Ginepri,87,28 ,Central Italy,Tenuta Argentiera
2005,Italy,Intenso,87,17 ,Central Italy,Podere la Marronaia
2005,Italy,Parafada,91,100 ,Northwestern Italy,Massolino
2005,Italy,Le Vigne,94,155 ,Northwestern Italy,Luciano Sandrone
2005,Italy,Gironia Biferno Rosato,83,18 ,Southern Italy,Borgo di Colloredo
2005,France,Mouton Cadet Réserve,85,17 ,Southern France,Baron Philippe de Rothschild
2005,France,Domaine Long Depaquit Les Vaucopins Premier Cru,92,32 ,Northeastern France ,Albert Bichot
2005,France,Mont de Milieu Premier Cru,90,30 ,Northeastern France ,Simonnet Febvre
2005,Italy,Madre,90,78 ,Central Italy,Poggio Antico
2005,Italy,La Roverina,86,17 ,Northeastern Italy,Speri
2005,France,Les Casterasses,90,30 ,Southern France,Domaine Bru Baché
2005,France,Rimage,86,26 ,Southern France,Les Clos de Paulilles
2005,Italy,Palio,85,17 ,Central Italy,Oriel
2005,Italy,Riserva,90,28 ,Central Italy,Viticcio
2005,Italy,Il Drappo,90,40 ,Southern Italy,Benanti
2005,Italy,Monte Danieli,93,62 ,Northeastern Italy,Corte Rugolin
2005,Italy,Rubesco Riserva Vigna Monticchio,92,57 ,Central Italy,Lungarotti
2005,Italy,Selezione Madonna delle Grazie,88,90 ,Central Italy,Il Marroneto
2005,France,Cristal Brut Rosé,96,595 ,Northeastern France ,Louis Roederer
2005,Italy,Riserva di Famiglia,89,38 ,Central Italy,Cecchi
2005,Italy,Il Moro,87,21 ,Southern Italy,Valle dell Acate
2005,France,Cuvée Spéciale,91,22 ,Central France ,Domaine Chignard
2005,France,Les Chaillots Premier Cru,88,60 ,Northeastern France ,Louis Latour
2005,Italy,Vorberg Riserva,90,28 ,Northeastern Italy,Cantina Terlano
2005,France,Tradition,85,60 ,Southern France,Château Thuron
2005,Italy,Vigna Tragugnano,86,16 ,Central Italy,Sergio Mottura
2005,Italy,Villero Riserva,92,58 ,Northwestern Italy,Franco Molino Cascina Rocca
2005,Italy,Le Stanze,93,70 ,Central Italy,Poliziano
2005,Italy,C,85,14 ,Southern Italy,Di Meo
2005,Italy,Patrimonio,86,15 ,Central Italy,Antonino Tringali Casanuova
2005,Italy,Montenero,88,48 ,Southern Italy,Abbazia Santa Anastasia
2005,Italy,Anfora Breg,93,120 ,Northeastern Italy,Gravner
2005,Italy,Mongris Riserva,89,30 ,Northeastern Italy,Marco Felluga
2005,Italy,Valeriano,91,100 ,Northwestern Italy,La Spinetta
2005,France,Les Ailes du Moulin,90,70 ,Southern France,Château Moulin de Grillet
2005,Italy,Dedicato a Walter,95,80 ,Central Italy,Poggio al Tesoro
2005,Italy,Costa Bruna,90,26 ,Northwestern Italy,Poderi Colla
2005,Italy,Sasyr,88,17 ,Central Italy,Rocca delle MacÃ¬e
2005,France,Les Tessons,91,93 ,Northeastern France ,Pierre Morey
2005,France,Clos des Fèves Premier Cru,94,85 ,Northeastern France ,Chanson Père et Fils
2005,Italy,Podere Cariano,88,33 ,Northeastern Italy,Le Bertarole
2005,Italy,Helichrysum,94,55 ,Central Italy,San Polino
2005,France,Montée de Tonnerre Premier Cru,92,32 ,Northeastern France ,Simonnet Febvre
2005,France,Pur Chardonnay,90,25 ,Northeastern France ,Bailly Lapierre
2005,France,Prestige,92,19 ,Southern France,Château les Tonnelles
